Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
Illinois St.,55.1,51.6,31.2,31.6,15.9,16.1,25.5,26,66.1,57,53,37.1,35.5,5.6,8.9,53.9,47.5,46.7,42,66.5,74.8,75.4
Manhattan,50.6,52.4,33,28.7,15.8,14.5,31.9,32.3,67.5,50.5,52.6,34.1,32.4,6.7,11.3,56.5,58.1,41.6,42,68.3,76.5,72.6
Utah,51.7,49,38.1,34.8,17.3,15.6,33.8,27.1,69.3,54,47.6,32.7,34,10.2,12.9,65.6,51.6,43.9,40.3,69.6,64.1,70.1
Louisiana Tech,53.7,48.9,32.2,31,18.8,14.8,29.4,29,65.8,53.5,48.8,34.1,30.8,11,8.9,57.5,47.8,41.4,38.9,65.1,75,69.9
Youngstown St.,48,49.1,35.7,36.4,17.2,17.9,28,30.6,70,52.1,48.1,31.3,33.5,13.2,8.8,51.4,52.6,46.2,32.8,69.9,73.7,70.5
Jacksonville,49,50.6,30.3,37.5,20.4,19.6,34.5,30.3,68.4,47.5,50.5,36.8,34.7,12.8,9.4,51.3,49.6,33.9,38.1,68.2,67.4,69.6
Tennessee St.,52.2,50.7,38.5,40.1,20.7,16.7,32.8,30.8,71.3,52.5,48.1,32.6,33.4,9.5,8.4,47.3,48,33.6,35.9,71.2,68.4,68.6
Stanford,51,50.3,30,35.1,15.2,17.6,31.2,27.7,67.1,50.2,50.7,34.2,33.4,10,6.8,53.9,40.5,41.7,33.7,66.8,78.9,74.2
Longwood,50.1,55.5,41.1,33.9,18,20,30.3,27.7,70.3,52.3,59.8,32.9,33.7,6.5,7.8,49.7,49.6,33.9,41.6,69.7,72.4,68.7
Sacred Heart,51,53.1,28.2,30.8,17.2,17.4,30.9,30.5,70.3,50.3,50.8,34.5,35.4,8.4,10.7,61.7,59.9,44.6,43.1,71,73.5,74
Western Kentucky,49.1,47.9,31.3,37.6,15.7,16.7,24.2,28.5,72.8,48,48.7,31.7,30.5,8.1,11.4,44.1,54.7,39.7,44.1,72.5,72.2,74.1
UT Arlington,52.2,52,33.9,30.4,18,15.1,32.5,32.8,68.5,50.6,48.5,35.4,36,7.8,10.3,53.7,57,42.2,34.9,68.3,65.3,73.5
Fordham,49.4,53,34.8,39.4,17.9,16.8,31.9,30.9,70.2,49.1,52.6,32,35.5,8.3,10.3,52.1,49.6,41.5,31.8,70.3,72.3,71.4
Alabama St.,46.9,52.5,26.9,37.5,12.6,16.8,26,30.5,69.1,45.6,50.8,32.6,33.7,8.4,9.3,44.7,50.9,42.7,40.2,68.4,69.2,69.4
Wichita St.,49.2,50.3,33.5,27.1,16.4,16,30.9,28.6,69.3,49.9,49.7,30.2,33.6,11.6,10.6,44.6,51.3,28.4,38,69.4,72.7,67
Texas Tech,55.6,47.9,29.7,33.4,13.9,17,34.7,26.4,66.5,54.5,47.9,36.7,32.4,8.3,7.9,57.2,46.3,44.5,34.6,66.6,76,71.3
Boise St.,53.1,50,37.4,30.8,16.1,16.4,33.3,22.8,66.1,56.4,49,31.7,35.2,7.3,9.6,55.9,45.5,42.9,37.1,66.5,78.2,69
