Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
Presbyterian,50,52.6,29,33.5,16.8,17.3,28.6,30.1,65.5,49.7,53.7,36,34.3,8.6,8.3,46.7,46.9,33.9,34.8,65.2,68.5,72
Michigan,54.6,44.9,36.7,27.5,18.7,16.8,33.6,30.1,70.8,56.7,46,33.2,30.8,9.5,7.4,58,45.1,42,39.1,70.5,72.8,73.1
Bellarmine,52.7,58.2,27.8,37.5,18.3,15.8,20,30.7,67.2,53.9,57.8,35.6,39,5.6,7.4,52.4,55.8,43.2,47.4,67,76.6,76.2
East Carolina,48.5,52.6,33.9,29.2,16.3,18,32.6,30.7,67.3,49.3,48.5,31.2,38.4,11.6,9.1,49.8,55.6,35.2,35.3,67.2,72.9,73.4
Northwestern,50.4,48.7,33.9,36.5,15.3,21,31.8,30.6,66.1,49.7,49.4,33.3,33.8,10.7,8.9,55.8,61,34.2,39.3,65.7,73.3,75
Eastern Illinois,44.9,52.5,32.5,40.3,18.9,20.4,29.5,31.3,67,42.6,50.2,31.7,34.7,8.1,11.5,46,61.8,29.7,44.4,66.8,69.3,71.1
Buffalo,48,54.5,33.8,30.5,20,16.8,25.1,31.2,72.2,51.3,53.4,30.5,37.2,8.7,10.3,52.9,52.8,43.9,35.2,71.3,69.9,72.3
Northern Kentucky,48.9,52.3,30.1,29.5,16.9,19.7,29.8,31.7,66.8,50,50.6,33,37,9.3,9,54.2,54,40,40.1,66.7,67.2,74.1
Valparaiso,47,52.5,32.4,34.6,13.9,16.9,27.9,30.1,68.1,47.3,54.2,32.3,35.2,9.7,9,45.2,51.4,38.4,36,68.6,79,70.5
Mercyhurst,48.4,56.3,31.1,40.7,16.4,19,22.5,35.8,64.5,45.8,56,35.7,35.7,6,8.2,57.8,55.5,36.4,39.8,65.3,80.7,71.3
Elon,50.2,48.5,39.4,26.2,19.8,13.6,36.2,32.4,65.5,50.8,46.9,33.2,33,12,8.1,48.6,57.8,41.5,44,65.8,76,71.4
Appalachian St.,50.1,46.6,33.5,22.5,17.8,14.9,26.9,28,63.9,48.7,47,34,29.8,8.8,10.9,51.7,49.8,41.1,40.1,63.9,65.5,74.4
West Georgia,46.5,55.4,31.3,38.7,17.2,17.2,25.7,29.9,68.9,48.4,56.9,29.7,36.8,9.3,7.5,51.2,57.3,30.1,43.7,68.8,69,71.9
Cleveland St.,48.6,51.2,30.7,39.5,18.3,21.7,33.9,33.4,66,49.8,50.3,32.6,35,13.7,9.8,50.7,55.7,32.3,39.8,66.3,72.8,70
Mississippi St.,52.9,50.7,31.3,31.5,15.2,19.7,33.1,28.3,69.6,55.5,50.3,31.4,35.8,13.8,8.7,53.2,53,42.7,44,68.7,70.1,69.7
Utah Tech,49.2,54.2,29.8,35.4,17.1,16.1,26.5,32.3,68.6,47.9,53.7,33.4,34.4,8.5,11.1,51.6,50.3,39.8,31.5,68.1,70.2,70.9
St. John's,49.7,45,32.9,32.9,15.9,21.8,39,30.1,70.2,51,46,30.1,30.6,14.9,8.3,53.6,55.3,31,40.8,70.5,69.1,67
Long Beach St.,49.3,53.6,34.9,34.6,21,16.4,29.2,35.4,65.7,47,51.2,35.3,38.1,8.3,8,49.3,49.4,37.1,37.6,64.8,75.5,73.8
Samford,54.6,53.4,29.1,42.5,19.2,21.7,34.6,33.2,71.5,53.9,54.1,36.9,35,10.8,10.3,56.2,59.6,47.1,44,71.6,72.1,69.9
Eastern Washington,49.7,53.4,30.1,39.2,19.3,18.9,28.4,34.1,67.8,52.5,53.8,32.3,36.9,8.8,7.9,52.6,54.4,37.6,38.4,67.7,77.3,73.4
