Team,Opp.,W/L
La Salle,Temple,L
Fordham,Wagner,W
Jacksonville,High Point,L
Central Connecticut,Boston College,W
Lipscomb,UNC Asheville,L
UTEP,Loyola Marymount,L
Mount St. Mary's,Saint Francis,W
Nebraska,Maryland Eastern Sho,W
Duquesne,Queens,W
Charlotte,Davidson,L
Saint Francis,Mount St. Mary's,L
Norfolk St.,Old Dominion,L
Hampton,Virginia,L
UT Rio Grande Valley,Boise St.,L
UAB,Alabama St.,L
Louisiana,Tulane,L
Cal St. Bakersfield,Western Illinois,W
Queens,Duquesne,L
Chicago St.,Butler,L
Cal St. Northridge,North Dakota St.,L
Alcorn St.,Maryland,L
Winthrop,Coastal Carolina,L
Wofford,Auburn,L
Loyola MD,NJIT,L
Old Dominion,Norfolk St.,W
Bucknell,Princeton,L
Austin Peay,Wyoming,L
Ball St.,Wisconsin,L
Dayton,Cincinnati,L
Quinnipiac,Yale,L
NJIT,Loyola MD,W
Central Arkansas,Arkansas,L
Merrimack,Tarleton St.,L
Maryland Eastern Sho,Nebraska,L
Stonehill,Rhode Island,L
Florida A&M,UCF,L
Northern Arizona,Arizona,L
Boston College,Central Connecticut,L
Harvard,Northeastern,L
Western Illinois,Cal St. Bakersfield,L
Texas A&M Corpus Chr,Kansas,L
DePaul,Buffalo,L
Boston University,Brown,W
Virginia Tech,Saint Joseph's,W
Missouri,Minnesota,W
George Washington,American,W
Indiana,Milwaukee,W
San Francisco,Portland St.,W
South Florida,Coppin St.,W
N.C. State,UNC Greensboro,W
South Carolina,Presbyterian,W
Oral Roberts,Tulsa,L
Seattle,Eastern Washington,W
Manhattan,Utah Tech,W
San Diego,Idaho,W
Colorado St.,Cal Poly,W
UC San Diego,Fresno St.,W
Marshall,Elon,W
Nevada,Southern Illinois,W
Tulsa,Oral Roberts,W
Houston,Oakland,W
Hawaii,Mississippi Valley S,W
Marquette,Little Rock,W
Minnesota,Missouri,L
Samford,Texas Southern,W
Longwood,James Madison,W
Milwaukee,Indiana,L
St. Bonaventure,Siena,W
Binghamton,Georgetown,L
Southern Illinois,Nevada,L
VCU,Saint Peter's,W
Vanderbilt,Eastern Kentucky,W
Texas Southern,Samford,L
Oklahoma St.,Prairie View A&M,W
Weber St.,Utah St.,L
Oregon,South Dakota St.,W
Elon,Marshall,L
Texas,Fairleigh Dickinson,W
Utah St.,Weber St.,W
Tennessee,North Florida,W
Eastern Washington,Seattle,L
Georgetown,Binghamton,W
Fresno St.,UC San Diego,L
Brown,Boston University,L
Middle Tennessee,Evansville,W
Oregon St.,North Texas,W
Idaho,San Diego,L
South Dakota St.,Oregon,L
Cal Poly,Colorado St.,L
North Florida,Tennessee,L
North Texas,Oregon St.,L
Tennessee Martin,Bradley,W
Texas St.,UTSA,W
Long Beach St.,Pacific,L
Valparaiso,Nicholls St.,W
UNC Greensboro,N.C. State,L
Utah Tech,Manhattan,L
Nicholls St.,Valparaiso,L
Bryant,Dartmouth,W
Stanford,Montana St.,W
Siena,St. Bonaventure,L
East Tennessee St.,Northern Kentucky,W
James Madison,Longwood,L
Western Michigan,Purdue Fort Wayne,W
Portland St.,San Francisco,L
South Dakota,Southern Indiana,W
Montana St.,Stanford,L
Presbyterian,South Carolina,L
Evansville,Middle Tennessee,L
American,George Washington,L
