Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
Clemson,53.2,49,30.1,29.3,15.6,21,34.7,29.4,66.6,50.8,49.4,37.9,32.4,10.5,7.2,51.1,46.7,39.1,40.7,65.9,75.8,70.2
Colorado,54.6,47.5,39.1,25.5,20.7,16,29.2,25.4,68.7,52.6,47.8,38.6,31.4,11,6.8,63.5,48.6,38.2,39.1,68.6,76.3,74.4
Coastal Carolina,52.3,44.5,35.8,46.1,18.6,10.2,27.2,24.3,64.9,51.9,47.5,35.3,25.3,3.9,10.4,50.4,35.1,39.4,31.4,64.3,67.6,71.9
North Carolina A&T,47,51.6,30.5,31.1,14.5,16.4,23.2,31.9,73.2,46,54.9,32.6,30.7,10.1,8,42.5,53.3,34.3,38,75.2,71.4,78
Washington,49.4,48.7,41.8,31.7,17.2,19.7,31.9,29.2,70,49.1,50,33.3,30.7,10.8,13.2,52.3,40.1,32,32.8,69.6,63,73.8
Colorado St.,51.8,48.9,27,34.8,16.9,18.8,24.3,26.3,68.7,55.9,45.8,30.7,35.9,10.4,8.7,58.9,49.8,42.2,38.3,68.9,75.1,67.3
UMBC,53.5,52.3,32.3,31.5,16.4,18.7,20.6,34.5,72.6,51.2,52.7,38.1,34.4,5.4,9.1,53.9,42.8,38.1,31.4,73,70.9,68.9
Louisiana Monroe,46,53.9,29.8,26.9,20.1,16.9,30.7,28.1,69.5,46.9,57.5,29.5,32.9,4.7,10.5,48.9,55.2,32.1,44.4,69.5,67.7,65.5
The Citadel,49.5,51.7,24.4,33.7,23,12.7,30,30.4,67.6,55.5,52.2,28.9,33.8,5.8,12,56.5,49,49.6,34.6,66.5,58.8,78
Hofstra,48.3,46,31.8,37.5,19.8,16.9,24.5,29.6,65,48.5,41.3,32.1,36.3,13.3,10.3,52.9,50.2,43.7,36.1,65.5,70,71.2
