Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
Charlotte,48.5,52,52.1,34.4,13.9,15.1,28.7,33.7,65,50.5,55.4,30.2,30.3,6,11.4,57.8,49,37.6,34.8,64.9,72.2,64.8
Canisius,48,56.5,20.7,31.9,19.1,14.4,19.9,34.6,66,46.8,59.4,33.1,34.9,7.1,10.7,49.4,58,43.2,41.3,66.9,80.9,73.5
Wake Forest,48,45.5,33.9,26.4,17.7,21.5,29.4,31.5,67.7,54,44.2,26.6,31.3,15,4.7,52.4,55.3,42.8,45.2,66.9,72.9,77
Florida Atlantic,55.7,52.2,38.1,31.9,16.2,19.3,26,29.8,72.8,55.7,46.9,37.1,39.8,10.3,8.4,57.7,55.3,41.5,41.6,73,70.8,73.4
Northeastern,51.9,47.2,31.3,30.6,18.5,17.3,29.3,28.1,69.4,53.4,46.4,32.4,32.4,12.3,11.2,51.9,48.8,31.6,35.4,70.5,66.8,65.7
Robert Morris,45.7,51,36.9,33.8,19.9,18.3,31.8,21.7,70.7,46.2,52.3,30,32.4,10.8,9.6,51.7,48,37.2,36.4,70.4,74.8,76.2
Seattle,48.5,58.5,45.8,35.1,18.6,18.1,31.7,24.5,68,44.9,61.2,35.6,36.5,3.9,8.4,52.5,57.7,42.2,41.9,67.2,73.9,69.4
Villanova,58.3,49.7,28.9,32.7,17.5,16.7,37.5,28.4,64.2,56,47.5,40.6,35.2,7.6,6.9,50.6,57.4,46.4,41.7,65.8,80.1,68.7
Howard,52.2,55.5,27.8,35.9,20.6,15.7,25.6,29.7,69.1,49.6,60.1,38,32.8,3.6,8.1,57.3,45.2,35,41.8,69.1,75.5,74.9
Utah St.,52.6,50.1,39.4,27.5,16.9,22.7,40.8,28.5,69.9,56.1,53.2,31.4,30.8,11.1,11.3,59.2,54.1,38.3,43.9,70.9,75.7,66.5
Marist,52.6,50.7,22.5,32.6,16.8,17,29.3,26.3,65.1,53.1,51,34.6,33.5,8.5,6.8,49,45,38.8,37.7,65,67.2,73.1
Portland St.,50.3,55.2,36.6,36.5,17.6,18.9,34.6,32.9,71.9,51.6,51.5,31.7,40.8,16.2,9.2,49.4,56.2,33.6,38,71.6,64.5,77.7
Denver,48.5,52.9,31,44.8,18.1,17.1,25.9,31.1,68.4,48.7,59,32,28.5,4.1,10.5,46.9,54.1,39.5,37.7,67.6,77.6,76.7
Cal St. Northridge,51.4,48.4,39.3,49.9,18.8,20.2,32.8,25.1,73.6,51.8,46.5,33.7,33.3,14.5,6.9,53.2,63.2,30.9,54.2,73.4,71,76.3
Maryland,57.4,44.5,31.4,25.6,13.1,22.1,33.7,23.6,70.9,59.3,45,36.4,29.2,12.9,4.5,49.7,47.1,39.3,39.7,71.4,73.6,66.5
Rice,48.6,44.5,53.4,36.9,20.4,16.8,33.2,30,67.1,48.2,45.5,32.8,28.6,9.2,8.9,52.9,43.1,41.6,37.9,67.5,70.2,67.8
Abilene Christian,48.8,56.7,46.5,56.5,18.4,21.3,27.5,26.2,68.2,50.7,52.5,29.2,43.2,8.1,7,52.4,51.6,27.5,34.3,68.1,71.8,70.9
Rider,46.3,51.8,35.2,26.1,20.1,16.6,34.3,33.7,65.2,48.7,51.6,27.4,34.7,7.8,10.7,49.8,54.2,31.5,42.3,64.6,66,68
Boston College,47.8,48.8,32.5,38.4,17.6,16.9,33.2,25.9,67,46.7,47.3,33.5,34.2,12.2,8,46.7,52.7,32.8,39,67.4,72.9,71.2
Arizona,52.6,48.2,38.7,31.5,17.7,19.7,40.7,26.1,72.2,56.3,45.6,30.2,34.2,11.3,5.9,53.8,58.2,33.5,46.4,72.5,73.9,70.1
Penn St.,58.7,48.4,38.1,31.4,16.1,23.9,31.6,26.6,73.9,60.2,47.5,37.5,33.2,12.9,6.4,60.6,60.6,37.8,38.4,73.8,73.6,67.5
Hawaii,53,48.8,45.3,45.8,20.3,13,32.9,22.8,67.1,56.7,47,31.2,36.1,7,9.9,45.1,38.2,37.2,25.3,66.6,69,74.4
San Diego,44.7,50.2,29.7,37.9,20.5,20.2,28.7,32.8,72.2,47.6,49.3,26.4,34.4,12.8,11.5,50,51.2,36.5,37.3,73.1,69.8,67.6
UC Davis,47.9,48.5,44.6,38.3,21.3,22.8,26.2,32.9,72.3,46.3,50.4,33.7,30.3,11.3,7.6,45.6,52.2,37.2,38.5,72.6,72.3,74.5
LSU,53.4,43.2,36.1,27.8,19.1,18.4,36.1,33.6,70.4,56.3,43.6,32.9,28.3,12.9,9.9,49.8,43.4,41.3,35,69.8,75.2,68.8
Fresno St.,43.5,51.3,35.8,23.2,17,20.4,27.7,33.7,75.1,45.9,53.4,26.3,32.1,7,9.4,40.8,47.3,35.8,39.2,75.6,67.8,68.8
UMKC,47.4,54.1,31.4,34.8,19.7,18,29.6,29.8,67.4,47.1,59.1,31.8,31.5,8.4,7.1,54.3,48.5,46.8,42,66.6,76.6,70.8
Baylor,56.6,54.2,27.4,36.4,15.5,22,39,30.1,67.3,56.4,50.6,38,39.5,9.9,11.4,56.2,61.8,40.1,41.7,67.2,68.8,68.2
Oral Roberts,46.6,57.6,31.4,36.8,18,14.9,23.5,34.2,68.7,44.7,59.9,32.5,36.1,5.4,13,42.1,63.6,45.9,40.6,70,78.3,68.8
Ohio,52.3,54.4,32.3,40.4,15.9,19.6,25.8,29,71.2,52.9,49.3,34.4,43.5,8.2,8.5,52.5,50,42.7,31.8,71.6,77.5,67.3
Winthrop,48,51,52.3,38.8,18.8,22.2,33.8,33.3,75.1,53.4,50.1,26.7,34.8,10.6,14.3,40.2,48.3,40.3,41.4,74.7,66,67.5
Northern Illinois,42.6,55.3,33.2,43.3,16.7,17,17.4,31.1,70.6,42.6,52.5,28.3,40.2,10.1,9.4,54.1,51.4,48.2,36.7,71.1,74.1,74.4
Georgia Tech,49.3,48.4,33,37.2,16,14.9,30.3,25,72.8,49.5,46,32.6,34.9,8.8,7.9,55.9,49.8,38,38.4,71.8,68.6,71.3
Kent St.,44.7,45.9,29.3,40.1,16,20.1,35.4,25.8,64.6,45.5,45.6,29,30.9,11.1,8,48.3,65.5,41.3,41.9,65.5,77.1,76.1
Marquette,54.1,50.5,27.2,28.9,13.1,23.2,31.9,29.3,69.3,58.9,52.7,32.5,31.6,10.9,5.9,50.3,61.6,46.6,40.6,69.5,74.4,71.2
Weber St.,49.3,52.1,33.9,43.7,16.6,16.1,28.5,31.7,66.1,50.8,49.1,31.3,38.3,7.2,10.1,40.2,57.7,39.6,36.4,66.9,70.9,71.4
Maine,49.8,51.5,24.8,32.1,16.8,21.6,24.3,32.8,67.7,51.4,51.7,30.9,34,5.9,6.2,51.1,53.5,30.8,38.7,68.9,80.1,72.3
Radford,48.9,51.2,43,36.7,18.4,16.5,35.6,28.4,66.4,48.5,49.1,33.1,35.9,9.6,9.4,44.9,58.4,36.2,44.8,65.6,71.9,73.5
Kansas,55.7,46.5,20.2,34.7,15.6,17.7,28.5,23.5,69.9,57,46.3,35.4,31.2,13.1,6.3,61.3,49.6,33.5,40.7,70.2,71.4,73.6
SMU,53.8,45.9,40.8,33.4,16.4,18.4,39.8,27,71.1,53.5,42.4,36.3,33.8,12,9.6,56.4,59.1,35.5,41.2,71.6,73.6,74.3
Richmond,47.8,53.2,40.8,41.1,15,13.7,19.1,23.9,67.7,51.3,53,29,35.6,6.4,8.9,46.1,53.7,45.3,48.1,68.2,76.7,72.5
Providence,51.3,44.4,34.8,34.9,18.4,15,34.5,27.3,64.9,52.2,43.8,33.6,30.4,8.3,9.2,53.8,44.8,49.7,33.5,64.8,67.8,68.8
Louisville,50.1,51.4,36.7,31.4,17.7,21.3,34.7,28.8,70.1,59.4,50.3,28,35.5,8.7,9.6,50,48.7,53.3,39.5,69.4,70.7,68
Davidson,53.2,51.3,31.2,31.7,14.7,15,27.7,28.9,67.5,53.5,48.9,35.2,37.1,7.7,10,58,44.4,42.1,35.2,67.3,73.8,70.8
North Florida,53.6,54.8,23.3,29.8,13.6,14.6,29.1,33,73.1,55.5,54.3,34.6,37.1,5.8,14.2,50.3,55.7,53.5,32.2,73,64.2,63.5
Missouri St.,49.3,55.6,40.5,41.1,18.8,20.5,35,27,67.9,45.1,56.5,38.5,36.1,6.7,12.3,47.2,52.3,33.3,36.9,67.3,68.8,70.6
Vanderbilt,55.2,49.4,35.5,30.4,12.6,22.8,32.2,29.3,70.7,60.5,46.5,31.9,36.4,11.8,9.8,50,48.5,41.9,36,72,73.8,68.4
Washington St.,56,48.9,34,32.4,20.9,16.6,34,30.1,73.5,59,49.6,34.8,31.9,15.6,9,56.8,47.1,44,37.3,72.8,70.5,66.1
Akron,52.2,54.7,26.2,32.7,16.6,19.5,34,33.2,72.6,48.4,54.6,37.9,36.6,7,8.6,62.4,49,45.5,37.1,73,70.7,69.7
Bowling Green,52.4,52.7,29.1,32.6,15.7,17.6,24,31.2,70.2,52.7,53.5,34.6,34.3,6.6,13.1,44.6,57.9,40.9,37.6,70.8,80.5,79.3
Memphis,53.6,50.9,45.6,33.6,19.5,18.9,33.2,32.7,69.7,48.8,48.8,41.9,35.7,12,12.1,49,60.8,34.6,44.2,70.9,73.9,73.8
Central Arkansas,44.1,56.4,29.8,24.5,17.5,19.2,27,31.4,68.8,46.8,55.8,27.5,37.9,7.5,15.4,58.5,64.2,49.2,56.6,67.9,71.6,71.3
Murray St.,52.5,48.7,44.6,34.2,17.2,15.8,27.1,26.7,68,51.4,50.8,36.3,29.3,7.9,10.2,49.3,31.4,36.8,32.1,66.1,70.1,70.8
American,50.6,53.3,31.3,42.1,20.2,16.5,26.4,31.2,65.6,51,54,33.5,34.5,7.3,10,49,40.9,45.5,30.3,65.3,74,73.8
Notre Dame,54.3,48.4,27.3,25.8,15.9,14.3,27.7,26.9,66.6,55.2,50.9,35.3,29.9,5.9,9,45.7,58.4,39.1,41.7,66.6,73,72.7
Creighton,55.1,45.6,29.6,18.5,19.6,12.9,24.9,27.8,70.9,60.1,44.6,33.6,31.4,11.3,10,63.8,41.6,51.7,36.6,70.7,77.3,72
Duke,54,41.2,29.9,25.1,15.5,20.3,34.4,27.2,67.5,55.4,40.5,35,28.1,10.6,7.8,57.4,55.1,48.1,40.4,67.6,73.9,78
Indiana St.,59.1,51.4,29.6,39.4,21.2,16.8,26.5,28,74,61.3,52.1,38,33.5,5.2,10.6,55.6,40.7,51.4,37.3,73.9,74.6,70
UCLA,54,45,34.4,33.2,16,27.1,35.2,28.1,68.1,55.1,46,34.7,29.1,9.6,5.1,57.9,59.5,34.2,41.7,67.9,69.5,69.9
Pacific,45.6,50.2,35.9,36.7,18.9,14.5,30.6,25.9,68.8,49.4,50.1,26.5,33.6,7.7,8.8,53.1,57.1,38.8,36.5,69.1,74,74.2
Texas A&M,47.4,45.7,42.4,30.8,18.7,20.8,43.7,30.4,68.2,47.9,46.7,31,29.7,13.6,14.2,50.7,61.6,38.1,47.3,68.2,69.6,74.1
North Texas,49.9,48.2,36.2,48.3,17.5,25.7,31.6,26.3,62.7,46.8,50.3,36.3,30.4,9.2,9.5,48,55.1,40,45.2,65,74.3,70.3
Nevada,58.4,47.8,39.1,34.2,16,18,29.8,28.3,65.8,55.7,46.5,41.9,33,10.8,9.3,59.5,55.9,38.3,43.8,64.5,69.8,70.7
UTSA,48.3,52.6,29.8,43.9,18.8,19.5,30.4,36.4,71.3,46.2,52.4,34,35.3,9.5,13.9,43.2,58,43,38,72.6,82.4,68.1
Mississippi Valley S,38.3,61.6,26.4,45,27.2,13.9,22.4,41.5,64.9,39.3,65.5,23.6,38,4.7,11,39,61.3,25.2,45.2,65.2,70.4,72.8
Gardner Webb,53.9,51.6,36.5,33.5,23.8,15.3,33.5,31.6,70.6,55.5,53.6,33.8,32.2,9.2,7.6,42.1,53.2,32.6,37.8,70.8,68.6,74.3
Prairie View A&M,48.5,61.5,36.5,45.5,15.3,18.1,24.2,43.4,75.1,47.6,62.7,33.5,39.6,6.8,11.1,46.4,60.2,32.5,36.1,73.7,74.2,73.6
Chattanooga,52.4,52.5,33.1,30.3,16.6,16.5,26.4,29.6,68.6,57.8,52.1,31.2,35.4,3.6,10,59.8,50.2,49.1,37.9,68.1,77.1,68
Georgia Southern,49.8,51.5,30.1,46.3,20.6,19.7,31.4,30.1,74.1,50.8,56.5,32.3,30.4,9.2,9,46,53,42.4,45.8,73.3,65.1,72.6
Northern Arizona,50.2,53.6,28.9,37.8,15.5,12.9,34.7,26.3,67.6,52.4,50.2,31.4,39.6,4.8,8.6,53.2,51.9,41.3,36.9,67,64.3,71.7
Nebraska,52.2,48.2,44.2,29.1,16,21.3,28.2,28.9,72.4,54.9,48.4,31.8,32,10.2,7.9,52.9,53.5,37.3,52.6,70.3,75.3,71.3
Yale,54,49.8,34.9,41.2,15.2,15.5,32.5,26.3,68.9,52.9,47.6,37.5,34.9,10.4,8.8,60.9,55.5,32.7,46.9,69.2,73.9,78
Tennessee Martin,43.1,52.7,31.1,35,20.9,15.6,32.2,31.4,69.6,47.5,56.2,25.5,32.8,7.9,14.1,44.4,58.8,47.5,50.2,69.2,69.5,67.1
Morehead St.,46.5,53.2,45.7,35.8,20.4,12.7,30,27.7,67.9,45.6,57.8,32.2,31.1,5.4,11.4,49.1,49.8,34.2,40.7,68.5,62.6,76.6
Tennessee,57.1,40,33.8,26,16.7,21.9,40,28,66.8,59.6,43.3,35.8,24.4,19.2,5.7,58.4,47.1,42.3,49.6,67.1,74.5,74.5
Texas St.,50.9,50.2,39.9,43.4,20,16,34.6,29,66.5,48.6,48.8,38.5,34.9,10.6,7.1,52.2,55.6,25.1,38.9,66,78.4,64.5
Jackson St.,41.7,59.4,28.2,27.3,21.9,15.4,26,30.4,72.2,39.6,56.2,30.2,41.9,9.1,11.8,44,69.5,36.1,47.4,71.2,67.9,70.9
Mississippi,54.1,47.2,36.8,37.2,12.9,23.6,30,28.8,68.3,52.6,48.3,37.3,30.6,17.1,10.7,58.3,57.4,42.6,46.2,68.6,73.9,67.9
Wyoming,49.3,48.6,40,38.1,21.8,14.4,34.9,26.9,67.9,50.2,50.7,31.8,29.7,7.8,7.7,44.1,40.9,36.5,35.6,67,65.3,72.2
Minnesota,48.6,48.7,33.4,28.5,16.1,19.2,28.9,30.7,63.1,51.4,48.3,29.1,33,14,9.8,63.9,55.3,36.2,34.1,62.8,63.5,71.2
Illinois,51.6,41.4,39.9,27.7,15.4,14.3,36.4,25.3,72.1,54.7,42.4,32.4,26.4,10.8,8.8,54,42.7,51.6,34,72.6,73.5,61.5
LIU,45.8,52.8,30.7,54.6,19.5,17.4,30.2,31.4,67.8,46,53.8,30.3,34.2,8.3,14.4,43.8,59.3,34.1,41.4,68.6,70.6,73.2
UTEP,50.7,52,39.6,53.8,19.3,26.6,26.7,34.9,68,46.8,52.6,38.7,34.1,14,9.5,49.7,66.3,34.6,43.3,69.9,73.8,76
Loyola Chicago,52.4,47.1,36,35.5,15.5,19.6,32.3,24.4,69.7,53.9,45.7,33.5,33,14.8,9.9,65.6,50,40.3,37.7,69.5,64.1,68.9
Texas,58.5,45.5,37,28.4,13.2,20.5,30.3,27,68.9,57.4,43.3,40.3,32.9,12.3,6.4,51.5,50.8,34.3,35.7,68.7,71.4,65.4
Maryland Eastern Sho,43.8,55.8,35.3,34.2,19.2,12.6,22,37.3,68.6,43.2,61.3,30,32.7,5.3,8.6,37.2,54.9,36.1,45.1,69.1,65.1,72.2
Western Illinois,49,54.2,23.2,33.2,17,13.8,30.8,30.2,64.2,47.3,56.3,34.5,33.9,9,4.8,36.2,45.4,39.8,38.2,64.5,70,73.7
Fairleigh Dickinson,50.8,54.3,28.5,36.5,17.8,15.1,25.1,39.3,71.2,49.3,58.6,35.4,31.1,7.8,9,50.2,50.2,38.6,35.5,71.4,72.8,76.2
Cornell,57.4,49.2,30.1,31.9,17.4,17.1,26.6,34.3,73.6,61,49.5,35.8,32.5,7.5,5.5,65,48.8,50.6,35.5,72.8,72.9,73.5
West Virginia,52.9,43.4,29.6,31.3,16.5,20.3,29,31,68.3,51.8,43.7,36,28.6,16.7,10.5,54.7,45.2,49.8,36.8,66.9,78.9,73.3
Oklahoma,56.3,48.4,36.6,30.1,16.6,21.7,31,33.1,69.2,56.5,54.1,37.4,27.1,6.3,9.8,53.9,43.3,45.4,42.1,68.7,79.8,70
Queens,49.5,52.7,32.7,33.7,19.3,18,28.2,33.9,72.7,50.2,54.8,32.5,32.9,13.1,13.8,59.4,42.8,46.3,37.6,70.6,62.1,60
Southern Illinois,48,51,33.1,31.6,19,15.6,31.9,29,70.2,47.7,48.4,32.5,36.9,8.4,10.2,52.3,53.9,29.4,37.4,70.7,67.8,71.8
