,,,,,,,,,,,,,,,,,,,,,,
Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
129,12/18/24,N,North Dakota,Sum,Alabama,H,"L, 97-90",129.6,110.5,75,120,54.6,14.7,36.4,10.5,129.3,61.1,18.7,45.7,47.6,86.3,0
130,11/15/24,N,Florida Atlantic,Amer,Charleston,A,"L, 119-116",129.6,125.5,74.3,124.8,65.8,17.2,29.7,28.9,128.1,60.4,12.9,28.2,29.3,59.2,-2
131,11/29/24,N,Mississippi,SEC,Purdue,N,"L, 80-78",129.6,114.9,62.8,124.3,54.9,11.2,27.8,21.3,127.5,64.6,19.1,40.7,54.2,79.9,-5
132,12/3/24,C,Iowa,B10,Northwestern,H,"W, 80-79",129.6,108.1,69.8,114.6,62.7,17.2,16.7,34.5,113.2,55,17.2,34.4,26.7,89,6
133,11/22/24,N,Florida,SEC,Southern Illinois,H,"W, 93-68",129.6,98.7,72.1,129,57.3,8.3,35.6,18.7,94.3,38.2,16.6,40,25,95.8,14
134,11/16/24,N,Murray St.,MVC,Middle Tennessee,A,"W, 88-67",129.5,99.5,67.8,129.8,71.2,17.7,18.2,30.8,98.8,42.2,10.3,29.3,29.7,95.4,8
135,11/29/24,N,Ohio St.,B10,Pittsburgh,H,"L, 91-90",129.5,110.1,67.1,119.2,61.2,14.6,28.6,50,120.5,50.7,14.6,43.2,44.8,86.6,5
136,11/17/24,N,Sam Houston St.,CUSA,Lamar,A,"W, 85-72",129.5,108.8,67.2,126.5,63.2,14.9,32.1,31.6,107.1,40.6,20.8,50,39.1,88.1,8
137,11/27/24,N,Baylor,B12,New Orleans,H,"W, 91-60",129.4,104.6,64.4,141.2,59,9.3,42.1,9.7,93.1,47.1,24.8,38.2,34.6,92.1,16
138,12/14/24,N,St. Bonaventure,A10,Providence,N,"W, 74-70",129.4,108.4,61.8,119.6,45,11.3,48.7,46.7,113.2,44.6,14.6,38.9,42.9,88.4,7
139,11/18/24,N,High Point,BSth,American,H,"W, 80-73",129.3,128.6,58.3,137.1,62.7,13.7,39.1,41.2,125.1,62.5,18.9,48,23.1,51.6,4
140,11/30/24,N,UNC Wilmington,CAA,Appalachian St.,H,"W, 76-61",129.3,107.9,60.7,125.2,47.5,6.6,38.5,36.1,100.5,41.5,14.8,30.6,39.6,88.9,9
141,12/8/24,C,Purdue,B10,Maryland,H,"W, 83-78",129.3,105.8,69.7,119,55.3,11.5,28.6,19.7,111.9,53.8,14.3,31.4,13.6,91,0
142,12/7/24,N,Wisconsin,B10,Marquette,A,"L, 88-74",129.3,115,65.8,112.5,55.8,24.3,36.7,34.6,133.8,56.5,7.6,35.5,33.9,79.3,-3
143,11/20/24,N,George Mason,A10,Coppin St.,H,"W, 93-55",129.2,102.1,65.6,141.7,68.9,15.2,42.9,56.6,83.8,36.8,25.9,41.5,33.3,93.7,21
144,12/3/24,N,Villanova,BE,Cincinnati,H,"W, 68-60",129.1,96.1,58.2,116.9,57.4,15.5,23.1,36.2,103.2,45,10.3,33.3,18.3,96.8,6
145,11/13/24,N,Auburn,SEC,Kent St.,H,"W, 79-56",129.1,94.2,63.3,124.8,54.4,9.5,34.4,38.6,88.5,36.9,12.6,28.6,24.6,97.4,12
146,11/15/24,N,Marquette,BE,Maryland,A,"W, 78-74",129.1,100.7,67.5,115.5,51.7,11.8,29.4,41.4,109.6,59.1,19.3,25.9,25.5,94.6,0
147,11/20/24,N,Penn St.,B10,Purdue Fort Wayne,H,"W, 102-89",129.1,119.3,72.1,141.4,64.8,18,53.1,49.2,123.4,52.9,13.9,42.1,27.1,71.2,3
148,11/16/24,N,Evansville,MVC,Radford,H,"L, 92-81",129.1,139.4,63.3,127.9,65.7,17.4,31,25.9,145.3,72.7,14.2,37.5,34.5,29.3,7
149,11/22/24,N,Missouri,SEC,Pacific,H,"W, 91-56",129,98.3,65.9,138.2,60.7,9.1,36.4,37.7,85,42.4,21.3,29.7,13.6,95.8,13
